Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/5/16;3/6/16;3/7/16;3/8/16;3/9/16;3/10/16;3/11/16;3/12/16;3/13/16;3/14/16;3/15/16;3/16/16;3/17/16;3/18/16;3/19/16;3/20/16;3/21/16;3/22/16
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;Tag 17;Tag 18
;IC21;C+;50;56;64;66;70;81;88;90;95;95;95;w;w;w;w;w;w;t
;IC23;C+;15;22;32;32;34;36;40;43;45;46;46;w;w;w;w;t;t;t
;IC24;C+;20;23;30;30;32;32;32;32;w;w;t;t;t;t;t;t;t;t
IC5;IC25;C-;22;32;39;42;45;50;50;w;w;w;t;t;t;t;t;t;t;t
;IC27;C-;40;40;43;45;45;45;w;w;w;w;t;t;t;t;t;t;t;t
;IC28;C-;32;45;51;59;59;w;t;t;t;t;t;t;t;t;t;t;t;t
;IC29;C-;25;25;32;38;40;42;w;w;w;t;t;t;t;t;t;t;t;t
;IC30;C-;30;33;37;41;43;44;45;w;w;w;t;t;t;t;t;t;t;t
IC6;IC31;C+;47;55;70;77;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC32;C+;18;23;32;32;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IC33;C+;51;54;71;78;80;82;83;87;89;89;w;w;w;w;w;t;t;t
;IC34;C+;36;43;52;54;54;54;54;60;w;w;w;w;w;w;t;t;t;t
;IC35;C+;34;41;42;44;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC36;C+;1;10;13;13;w;w;w;t;t;t;t;t;t;t;t;t;t;t
IC7;IC38;C-;38;50;62;70;70;w;w;t;t;t;t;t;t;t;t;t;t;t
;IC39;C-;27;27;29;30;30;w;w;w;w;t;t;t;t;t;t;t;t;t
;IC40;C-;50;50;54;60;65;68;74;78;80;82;84;w;w;w;t;t;t;t
;IC41;C-;28;30;37;43;45;47;w;w;w;t;t;t;t;t;t;t;t;t
;IC42;C-;35;47;52;56;56;62;72;80;81;82;82;w;w;w;w;w;t;t
ID1;ID1;D;8;25;30;41;58;70;73;80;80;81;83;84;84;85;w;w;w;w
;ID3;D;8;12;17;28;31;38;43;45;52;w;w;w;w;w;t;t;t;t
;ID4;D;10;16;19;23;23;w;w;w;t;t;t;t;t;t;t;t;t;t
;ID5;D;8;10;13;16;16;18;18;18;w;w;w;t;t;t;t;t;t;t
;ID6;D;15;32;40;41;41;41;w;w;w;w;t;t;t;t;t;t;t;t
ID2;ID7;D;18;30;42;42;42;44;w;w;w;t;t;t;t;t;t;t;t;t
;ID8;D;10;10;14;17;18;w;w;w;t;t;t;t;t;t;t;t;t;t
;ID9;D;25;37;40;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;ID10;D;20;20;25;32;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;ID12;D;28;37;37;38;38;38;38;w;w;t;t;t;t;t;t;t;t;t
ID3;ID13;D;55;58;70;77;78;w;w;w;t;t;t;t;t;t;t;t;t;t
;ID14;D;65;80;84;95;101;110;116;121;127;130;w;w;w;w;w;t;t;t
;ID15;D;56;58;60;61;63;w;w;w;w;t;t;t;t;t;t;t;t;t
;ID17;D;10;32;35;40;w;w;w;w;w;t;t;t;t;t;t;t;t;t
;ID18;D;1;8;10;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
ID4;ID19;D;38;40;44;45;45;w;w;w;w;t;t;t;t;t;t;t;t;t
;ID20;D;40;61;72;74;75;80;88;91;100;105;106;106;106;w;w;w;w;t
;ID21;D;40;50;61;63;65;71;79;80;82;85;89;93;94;95;w;w;w;t
;ID23;D;45;53;71;73;74;w;w;t;t;t;t;t;t;t;t;t;t;t
;ID24;D;12;22;27;29;29;29;30;31;33;33;33;33;33;33;w;w;w;w
ID5;ID25;D;40;52;60;66;70;70;w;w;w;t;t;t;t;t;t;t;t;t
;ID26;D;44;60;66;73;80;84;89;w;w;w;w;w;w;w;t;t;t;t
;ID27;D;48;57;70;72;75;81;88;w;w;w;t;t;t;t;t;t;t;t
;ID29;D;12;15;20;23;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;ID30;D;3;10;15;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
ID6;ID31;D;32;45;48;48;50;w;w;w;t;t;t;t;t;t;t;t;t;t
;ID33;D;30;45;48;50;50;w;w;t;t;t;t;t;t;t;t;t;t;t
;ID34;D;1;8;13;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;ID35;D;60;63;68;71;74;75;78;80;82;82;84;85;85;85;85;w;w;w
;ID36;D;57;70;79;84;90;97;108;111;115;119;120;124;125;127;127;127;127;127
ID7;ID37;D;60;73;80;84;95;101;110;114;115;120;w;w;w;w;w;w;t;t
;ID39;D;58;67;74;80;80;w;w;t;t;t;t;t;t;t;t;t;t;t
;ID40;D;42;52;59;59;59;59;59;w;w;t;t;t;t;t;t;t;t;t
;ID41;D;38;43;43;44;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;ID42;D;27;32;34;35;w;w;t;t;t;t;t;t;t;t;t;t;t;t
IE1;IE1;D;18;27;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t;t
;IE2;D;5;14;23;29;29;31;31;36;36;37;37;37;w;w;t;t;t;t
;IE3;D;8;20;27;30;34;45;49;54;58;60;65;70;74;78;79;80;w;w
;IE4;D;2;11;24;33;37;41;48;48;48;w;w;w;w;t;t;t;t;t
;IE5;D;10;22;31;39;40;40;42;w;w;w;w;w;w;w;t;t;t;t
IE2;IE7;D;12;19;26;40;41;46;54;66;79;81;87;95;102;109;113;115;118;120
;IE8;D;5;10;24;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IE10;D;23;27;31;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IE11;D;8;11;18;18;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IE12;D;18;30;38;40;40;47;49;55;57;57;w;w;w;w;w;t;t;t
IE3;IE13;D;10;20;20;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IE14;D;8;20;21;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IE16;D;14;23;24;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IE17;D;17;36;40;42;44;44;46;w;w;w;w;w;w;w;t;t;t;t
IE4;IE19;D;45;60;70;72;72;w;w;w;w;w;w;w;w;w;t;t;t;t
;IE21;D;12;35;42;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IE22;D;15;28;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IE23;D;17;40;41;43;44;44;44;45;45;w;w;w;w;w;w;t;t;t
;IE24;D;18;29;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
IE5;IE25;D;38;43;45;45;47;47;48;49;49;w;w;t;t;t;t;t;t;t
;IE26;D;32;32;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IE27;D;12;23;23;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IE28;D;27;40;45;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IE29;D;10;22;30;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
IE6;IE32;D;30;48;53;62;68;80;87;90;103;109;110;115;115;w;w;w;w;t
;IE33;D;35;43;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t;t
;IE34;D;17;30;34;40;44;46;51;57;57;58;58;58;w;w;w;w;w;t
;IE35;D;20;33;45;51;53;57;60;63;63;w;w;w;w;t;t;t;t;t
;IE36;D;28;37;50;58;66;68;70;71;71;71;71;71;71;w;w;t;t;t
IE7;IE38;D;40;50;60;62;63;63;69;71;71;w;w;w;w;t;t;t;t;t
;IE39;D;40;53;56;58;61;65;70;76;81;82;88;93;97;100;105;106;106;106
;IE40;D;6;23;27;35;41;52;56;56;59;61;64;66;69;72;76;81;82;85
;IE41;D;37;48;51;53;56;62;68;70;73;78;84;86;88;91;92;93;94;95
IF1;IF1;D;6;19;23;29;29;29;31;w;w;w;w;w;w;w;t;t;t;t
;IF2;D;38;48;59;63;64;67;72;79;90;93;w;w;w;w;t;t;t;t
;IF3;D;12;18;20;20;20;w;w;w;t;t;t;t;t;t;t;t;t;t
;IF4;D;12;30;33;33;33;35;35;w;w;w;w;w;w;t;t;t;t;t
;IF5;D;15;22;23;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF6;D;20;41;45;48;50;50;52;54;56;57;58;61;62;64;w;w;w;w
IF2;IF7;D;10;12;18;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF8;D;12;28;38;40;40;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF9;D;28;33;37;44;45;45;48;51;53;w;w;t;t;t;t;t;t;t
;IF10;D;3;11;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF11;D;10;10;20;20;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF12;D;7;25;29;31;w;w;w;t;t;t;t;t;t;t;t;t;t;t
IF3;IF13;D;28;32;33;34;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IF14;D;20;28;34;37;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IF15;D;6;10;11;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF16;D;18;29;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IF18;D;8;11;13;13;w;t;t;t;t;t;t;t;t;t;t;t;t;t
IF4;IF19;D;47;50;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IF20;D;10;10;10;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IF24;D;12;20;31;34;34;w;w;t;t;t;t;t;t;t;t;t;t;t
IF5;IF26;D;10;25;w;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF27;D;10;20;20;w;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF30;D;4;16;27;40;47;49;50;54;57;64;65;65;65;w;w;w;t;t
IF6;IF31;D;10;28;32;33;33;33;34;34;34;34;w;w;w;w;t;t;t;t
;IF34;D;40;43;44;52;55;68;78;84;90;91;94;100;100;101;102;w;w;w
;IF35;D;2;2;4;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IF36;D;27;38;44;44;55;67;69;70;70;71;72;72;w;w;w;w;w;t
IF7;IF37;D;3;9;20;21;21;w;w;t;t;t;t;t;t;t;t;t;t;t
;IF39;D;30;30;35;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IF40;D;30;35;38;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IF41;D;12;27;31;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IF42;D;17;23;23;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
IG1;IG1;D;10;10;16;20;23;w;w;t;t;t;t;t;t;t;t;t;t;t
;IG2;D;30;45;55;64;64;71;80;85;90;96;100;105;107;110;111;113;113;113
;IG3;D;55;67;72;77;79;w;w;w;t;t;t;t;t;t;t;t;t;t
;IG4;D;35;42;50;52;52;w;t;t;t;t;t;t;t;t;t;t;t;t
;IG5;D;25;55;68;68;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IG6;D;33;56;65;68;70;w;w;w;t;t;t;t;t;t;t;t;t;t
IG2;IG9;D;15;40;48;48;48;w;w;w;w;w;t;t;t;t;t;t;t;t
;IG10;D;45;57;68;70;73;w;w;w;w;t;t;t;t;t;t;t;t;t
;IG12;D;15;30;40;46;50;51;w;w;w;w;w;w;w;t;t;t;t;t
IG3;IG13;D;3;15;30;34;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IG14;D;25;35;48;50;53;w;w;t;t;t;t;t;t;t;t;t;t;t
;IG15;D;40;47;57;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IG16;D;45;65;73;74;76;76;84;84;w;w;w;w;w;t;t;t;t;t
;IG17;D;23;38;47;47;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IG18;D;20;30;35;35;35;35;w;w;w;t;t;t;t;t;t;t;t;t
IG4;IG19;D;35;48;71;77;86;95;102;106;111;w;w;w;w;w;t;t;t;t
;IG20;D;42;55;72;72;72;w;w;t;t;t;t;t;t;t;t;t;t;t
;IG23;D;20;20;32;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
;IG24;D;5;5;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t
IG5;IG25;D;3;3;9;w;t;t;t;t;t;t;t;t;t;t;t;t;t;t
;IG27;D;28;53;62;69;70;72;75;80;84;w;w;w;w;w;t;t;t;t
;IG28;D;32;45;47;47;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IG29;D;32;38;40;50;50;50;w;w;w;w;w;t;t;t;t;t;t;t
;IG30;D;6;20;28;40;40;45;50;52;53;55;w;w;w;w;t;t;t;t
IG6;IG31;D;2;5;12;25;w;w;w;t;t;t;t;t;t;t;t;t;t;t
;IG32;D;27;28;28;30;33;33;34;34;34;w;w;w;t;t;t;t;t;t
;IG33;D;40;47;48;59;70;80;87;90;93;95;96;100;102;103;w;w;w;t
;IG34;D;50;50;53;55;w;w;w;w;t;t;t;t;t;t;t;t;t;t
;IG35;D;15;24;w;w;t;t;t;t;t;t;t;t;t;t;t;t;t;t
;IG36;D;25;40;42;45;48;w;w;w;t;t;t;t;t;t;t;t;t;t
IG7;IG38;D;36;58;62;64;64;64;w;w;t;t;t;t;t;t;t;t;t;t
;IG40;D;19;35;40;w;w;w;t;t;t;t;t;t;t;t;t;t;t;t
;IG41;D;20;30;32;34;34;35;39;42;50;53;55;57;57;57;57;60;60;62
