Alu-Schale;Pflanze;Versuchs-gruppe;Wuchs, mm;;;;;;;;;;;;;;;;;
;;;3/25/16;3/26/16;3/27/16;3/28/16;3/29/16;3/30/16;3/31/16;4/1/16;4/2/16;4/3/16;4/4/16;4/5/16;4/6/16;4/7/16;4/8/16;4/9/16;;
;;;Tag 1;Tag 2;Tag 3;Tag 4;Tag 5;Tag 6;Tag 7;Tag 8;Tag 9;Tag 10;Tag 11;Tag 12;Tag 13;Tag 14;Tag 15;Tag 16;;
;IIA20;A-;17;29;35;36;36;36;w;w;w;t;t;t;t;t;t;t;;
;IIA21;A-;25;35;43;52;53;53;55;55;55;w;w;t;t;t;t;t;;
;IIA22;A-;21;34;47;47;47;47;49;49;49;w;w;w;t;t;t;t;;
;IIA24;A-;18;26;38;41;46;46;47;w;w;w;w;w;w;t;t;t;;
IIA5;IIA25;A+;17;25;29;29;w;w;w;w;t;t;t;t;t;t;t;t;;
;IIA26;A+;20;38;48;49;w;w;w;w;w;w;t;t;t;t;t;t;;
;IIA27;A+;5;7;7;7;w;w;w;t;t;t;t;t;t;t;t;t;;
;IIA28;A+;11;30;34;34;w;w;w;w;w;w;t;t;t;t;t;t;;
;IIA29;A+;3;9;9;9;w;w;w;w;w;t;t;t;t;t;t;t;;
;IIA30;A+;17;23;28;28;w;w;w;w;w;w;t;t;t;t;t;t;;
IIA6;IIA31;A-;14;27;34;34;34;34;w;w;w;w;w;t;t;t;t;t;;
;IIA32;A-;18;32;36;39;39;w;w;w;w;w;t;t;t;t;t;t;;
;IIA33;A-;19;22;25;27;27;27;w;w;w;t;t;t;t;t;t;t;;
;IIA34;A-;15;24;27;27;w;w;w;w;w;w;w;t;t;t;t;t;;
;IIA35;A-;18;30;38;38;w;w;w;w;w;w;t;t;t;t;t;t;;
;IIA36;A-;20;26;33;33;33;33;w;w;w;w;w;t;t;t;t;t;;
IIA7*;IIA37;A+;19;29;37;39;39;39;39;39;39;39;w;w;w;w;t;t;;
;IIA38;A+;22;39;43;43;44;w;44;44;44;44;w;w;t;t;t;t;;
;IIA39;A+;22;34;39;40;41;41;41;41;41;41;41;w;w;w;w;t;;
;IIA40;A+;6;14;16;16;16;w;w;w;w;w;w;t;t;t;t;t;;
;IIA41;A+;16;35;40;40;40;w;40;40;w;w;w;w;t;t;t;t;;
;IIA42;A+;23;39;39;w;w;w;w;w;w;w;t;t;t;t;t;t;;
IIA8;IIA43;A-;20;30;34;34;34;34;w;w;w;w;w;w;w;w;w;t;;
;IIA44;A-;20;30;39;39;39;w;w;w;w;t;t;t;t;t;t;t;;
;IIA45;A-;17;30;34;35;36;37;w;w;w;w;w;w;w;w;t;t;;
;IIA46;A-;14;33;34;36;36;36;w;w;w;w;w;w;t;t;t;t;;
;IIA47;A-;10;26;34;34;34;w;w;w;w;w;w;t;t;t;t;t;;
;IIA48;A-;19;32;38;39;40;w;w;w;w;w;w;w;t;t;t;t;;
IIA9;IIA50;A+;15;25;32;33;33;w;w;w;w;w;w;t;t;t;t;t;;
;IIA51;A+;11;25;30;32;33;33;w;w;w;w;w;w;w;t;t;t;;
;IIA52;A+;9;27;29;29;29;w;w;w;w;w;w;w;t;t;t;t;;
;IIA53;A+;16;20;20;20;20;w;w;w;w;w;w;t;t;t;t;t;;
;IIA54;A+;21;28;40;40;40;40;40;40;40;40;w;w;w;w;w;t;;
IIA10*;IIA55;A-;16;34;36;36;38;40;40;40;w;w;w;w;w;w;t;t;;
;IIA56;A-;6;29;40;43;44;46;46;46;w;w;w;w;w;t;t;t;;
;IIA57;A-;5;10;11;w;w;t;t;t;t;t;t;t;t;t;t;t;;
;IIA58;A-;14;25;34;34;w;w;w;w;t;t;t;t;t;t;t;t;;
;IIA59;A-;22;27;36;36;37;38;w;w;w;w;w;t;t;t;t;t;;
;IIA60;A-;10;23;24;w;w;w;w;w;t;t;t;t;t;t;t;t;;
IIB1;IIB1;B+;21;29;40;44;50;53;55;w;w;w;w;w;w;t;t;t;;
;IIB2;B+;20;33;40;45;48;48;48;50;w;w;w;w;w;t;t;t;;
;IIB3;B+;16;39;51;54;58;58;61;w;w;w;w;w;w;w;w;t;;
;IIB4;B+;9;13;19;20;23;w;w;w;w;w;w;t;t;t;t;t;;
;IIB5;B+;5;14;17;w;w;w;t;t;t;t;t;t;t;t;t;t;;
;IIB6;B+;28;43;49;54;54;w;w;w;t;t;t;t;t;t;t;t;;
IIB2;IIB7;B+;19;33;38;47;47;48;51;53;w;w;w;w;w;t;t;t;;
;IIB8;B+;5;24;32;35;40;40;w;w;w;w;w;w;w;t;t;t;;
;IIB9;B+;20;37;47;48;51;53;53;w;w;w;w;w;w;t;t;t;;
